,Start,End
0,2022-11-04 11:27:08.754319,2022-11-04 11:27:10.008915
1,2022-11-04 11:27:10.979516,2022-11-04 11:27:11.356989
2,2022-11-04 11:27:14.839008,2022-11-04 11:27:15.811560
3,2022-11-04 11:27:16.970552,2022-11-04 11:27:17.343036
4,2022-11-04 11:27:17.712904,2022-11-04 11:27:17.996438
5,2022-11-04 11:27:18.601187,2022-11-04 11:27:18.922963
6,2022-11-04 11:27:19.207244,2022-11-04 11:27:19.487943
7,2022-11-04 11:27:19.814193,2022-11-04 11:27:20.093641
8,2022-11-04 11:27:20.373520,2022-11-04 11:27:20.698551
9,2022-11-04 11:27:21.072670,2022-11-04 11:27:21.397092
10,2022-11-04 11:27:21.767549,2022-11-04 11:27:22.138059
